,MAE,RMSE,Model,Dataset,Type
446,0.6680047710736593,0.8646816399762202,3-Layer LSTM,COVID-19,Idiographic
447,0.8306959023078283,1.1776282829568152,3-Layer LSTM,COVID-19,Idiographic
448,0.7139417380094528,0.780901264547477,3-Layer LSTM,COVID-19,Idiographic
449,0.7485315691341053,0.902677673657684,3-Layer LSTM,COVID-19,Idiographic
450,0.198538037446829,0.362194537598294,3-Layer LSTM,COVID-19,Idiographic
451,0.6314973831176758,0.7598895181263777,3-Layer LSTM,COVID-19,Idiographic
452,0.4303411483764648,0.6488806130258448,3-Layer LSTM,COVID-19,Idiographic
453,0.6047816127538681,0.7392049619491312,3-Layer LSTM,COVID-19,Idiographic
454,0.4689866788685322,0.7064917579445505,3-Layer LSTM,COVID-19,Idiographic
455,0.5795548237287081,0.9139272874886228,3-Layer LSTM,COVID-19,Idiographic
456,0.5548438529173533,0.673621853640048,3-Layer LSTM,COVID-19,Idiographic
457,0.5547185937563578,0.7219482616284358,3-Layer LSTM,COVID-19,Idiographic
458,0.4259343942006429,0.4950283257092236,3-Layer LSTM,COVID-19,Idiographic
459,0.70413299707266,0.8218975249420091,3-Layer LSTM,COVID-19,Idiographic
460,0.4453642184917743,0.5330369465804541,3-Layer LSTM,COVID-19,Idiographic
461,0.4637761811415354,0.5587007555377835,3-Layer LSTM,COVID-19,Idiographic
462,0.904698391755422,1.3163524388428534,3-Layer LSTM,COVID-19,Idiographic
463,0.3902987425143902,0.5428692301112747,3-Layer LSTM,COVID-19,Idiographic
464,0.6830074886480967,0.780379926102494,3-Layer LSTM,COVID-19,Idiographic
465,0.554257720708847,0.6699668179774497,3-Layer LSTM,COVID-19,Idiographic
466,0.5033500293890635,0.671840074391763,3-Layer LSTM,COVID-19,Idiographic
467,0.3562078109154334,0.4362596608002888,3-Layer LSTM,COVID-19,Idiographic
468,0.5231244166692098,0.7519812856531424,3-Layer LSTM,COVID-19,Idiographic
469,0.6470559785763422,0.7617897967029338,3-Layer LSTM,COVID-19,Idiographic
470,0.4906403284806471,0.6405385007046128,3-Layer LSTM,COVID-19,Idiographic
471,0.8484120666980743,1.0322270320381914,1-Layer LSTM,COVID-19,Idiographic
