,MAE,RMSE,Model,Dataset,Type
643,12.661277753586043,20.390086220885987,XGBoost,Alcohol,Nomothetic
644,8.425703673145374,12.252082818907573,XGBoost,Alcohol,Nomothetic
645,11.344253407363707,13.115832970857456,XGBoost,Alcohol,Nomothetic
646,2.526252825786246,4.07048733413848,XGBoost,Alcohol,Nomothetic
647,24.44165038156421,29.449357896795068,XGBoost,Alcohol,Nomothetic
648,5.957012583440698,8.459297341744167,XGBoost,Alcohol,Nomothetic
649,2.5390926566542933,3.481172475885874,XGBoost,Alcohol,Nomothetic
650,11.442743627311648,15.996747469687984,XGBoost,Alcohol,Nomothetic
651,15.634037939826095,24.609221226448486,XGBoost,Alcohol,Nomothetic
652,19.22567540480102,23.30424353257864,XGBoost,Alcohol,Nomothetic
653,7.074759125486564,8.448271714773192,XGBoost,Alcohol,Nomothetic
654,4.012866502553885,5.470646269034194,XGBoost,Alcohol,Nomothetic
655,11.67219475845335,14.475527668522778,XGBoost,Alcohol,Nomothetic
656,7.047036405101417,9.149026322593956,XGBoost,Alcohol,Nomothetic
657,8.765024408687331,12.31574686136217,XGBoost,Alcohol,Nomothetic
658,13.345823932647232,17.628420229967894,XGBoost,Alcohol,Nomothetic
659,4.338179689228709,10.002502420789163,XGBoost,Alcohol,Nomothetic
660,15.606168237281963,21.04024054317833,XGBoost,Alcohol,Nomothetic
661,1.909236678741573,4.443272706710174,XGBoost,Alcohol,Nomothetic
662,13.45665265634801,17.98646387625555,XGBoost,Alcohol,Nomothetic
663,8.120946255953688,11.148419201627805,XGBoost,Alcohol,Nomothetic
664,16.94093359090719,21.88726193636484,XGBoost,Alcohol,Nomothetic
665,3.736911852321053,4.976175062258577,RF,Alcohol,Nomothetic
666,17.82281791553816,20.09537486584668,RF,Alcohol,Nomothetic
667,14.866919107508496,18.401135544137915,RF,Alcohol,Nomothetic
668,5.161061685556565,10.34188129704512,RF,Alcohol,Nomothetic
669,9.347361779703538,11.094791561431297,RF,Alcohol,Nomothetic
670,11.506128553258124,13.979989254730716,RF,Alcohol,Nomothetic
671,13.325153233248251,19.923362836948964,RF,Alcohol,Nomothetic
672,8.448649740923829,11.52296876253337,RF,Alcohol,Nomothetic
673,10.60412600801938,12.7629096908505,RF,Alcohol,Nomothetic
674,3.105222846240965,4.698437240357426,RF,Alcohol,Nomothetic
675,24.04217449910746,29.195102287131345,RF,Alcohol,Nomothetic
676,5.40350694259459,7.621417136443823,RF,Alcohol,Nomothetic
677,2.999698247878848,3.902195560377633,RF,Alcohol,Nomothetic
678,12.26617579422782,16.553249911354488,RF,Alcohol,Nomothetic
679,16.98461925257356,24.10582610973261,RF,Alcohol,Nomothetic
680,18.67241766556205,22.821222326277905,RF,Alcohol,Nomothetic
681,7.355231872343127,9.447423337023547,RF,Alcohol,Nomothetic
682,3.1783709850987774,4.483870716179278,RF,Alcohol,Nomothetic
683,11.38231963430222,14.051947635105142,RF,Alcohol,Nomothetic
684,7.371351944178578,9.447650777363066,RF,Alcohol,Nomothetic
685,8.243855073418406,11.510753394930656,RF,Alcohol,Nomothetic
686,14.511548237371052,18.280716499775103,RF,Alcohol,Nomothetic
687,5.866778766254649,10.533344521523874,RF,Alcohol,Nomothetic
688,15.714806595428811,21.395971882121472,RF,Alcohol,Nomothetic
689,1.7124622218010184,4.252664239405114,RF,Alcohol,Nomothetic
690,13.769296584097322,18.454899935361546,RF,Alcohol,Nomothetic
691,8.569527854518219,12.393242187452008,RF,Alcohol,Nomothetic
692,17.78149055544208,22.35349829688253,RF,Alcohol,Nomothetic
693,6.836931705861558,9.236168158859517,3-Layer LSTM,Alcohol,Nomothetic
694,18.544227424591764,21.67912660985424,3-Layer LSTM,Alcohol,Nomothetic
695,15.405522323901472,19.36784294903133,3-Layer LSTM,Alcohol,Nomothetic
696,7.102283810547724,11.959658718091616,3-Layer LSTM,Alcohol,Nomothetic
697,9.63817273980982,12.208676420833696,3-Layer LSTM,Alcohol,Nomothetic
698,11.355831543414082,14.42678032267693,3-Layer LSTM,Alcohol,Nomothetic
699,12.094141612602003,19.81810854969442,3-Layer LSTM,Alcohol,Nomothetic
700,7.697928779208794,11.213859328469864,3-Layer LSTM,Alcohol,Nomothetic
701,13.018449578101816,14.815150241873486,3-Layer LSTM,Alcohol,Nomothetic
702,4.682934793380928,7.502257388372765,3-Layer LSTM,Alcohol,Nomothetic
703,23.39764963038433,29.525624576500384,3-Layer LSTM,Alcohol,Nomothetic
704,5.950658746417005,9.347642357190296,3-Layer LSTM,Alcohol,Nomothetic
705,6.645592196020262,9.147998918544005,3-Layer LSTM,Alcohol,Nomothetic
706,11.870128152561554,18.010316454160886,3-Layer LSTM,Alcohol,Nomothetic
707,13.519467933322543,23.20010163907753,3-Layer LSTM,Alcohol,Nomothetic
708,21.76634074145176,26.4872190929325,3-Layer LSTM,Alcohol,Nomothetic
709,7.8107130722729,9.814978749670985,3-Layer LSTM,Alcohol,Nomothetic
710,4.398596424752253,6.225287942345658,3-Layer LSTM,Alcohol,Nomothetic
711,13.13605601182414,17.553213951084864,3-Layer LSTM,Alcohol,Nomothetic
